#BioGRID Chemical Interaction ID	BioGRID Gene ID	Entrez Gene ID	Systematic Name	Official Symbol	Synonyms	Organism ID	Organism	Action	Interaction Type	Author	Pubmed ID	BioGRID Publication ID	BioGRID Chemical ID	Chemical Name	Chemical Synonyms	Chemical Brands	Chemical Source	Chemical Source ID	Molecular Formula	Chemical Type	ATC Codes	CAS Number	Curated By	Method	Method Description	Related BioGRID Gene ID	Related Entrez Gene ID	Related Systematic Name	Related Official Symbol	Related Synonyms	Related Organism ID	Related Organism	Related Type	Notes	InChIKey
8661	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	inhibitor	target	Agirre X (2005)	15949566	177327	609	Imatinib	Imatinibum|alpha-(4-Methyl-1-piperazinyl)-3'-((4-(3-pyridyl)-2-pyrimidinyl)amino)-P-toluidide|4-(4-METHYL-piperazin-1-ylmethyl)-N-[4-methyl-3-(4-pyridin-3-yl-pyrimidin-2-ylamino)-phenyl]-benzamide|Imatinib Methansulfonate|STI 571|Imatinib	imatinib mesylate|pms-imatinib	DRUGBANK	DB00619	C29H31N7O	small molecule	L01XE01	152459-95-5	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	KTUFNOKKBVMGRW-UHFFFAOYSA-N
8662	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	inhibitor	target	Brueggemeier SB (2005)	16153117	177324	609	Imatinib	Imatinibum|alpha-(4-Methyl-1-piperazinyl)-3'-((4-(3-pyridyl)-2-pyrimidinyl)amino)-P-toluidide|4-(4-METHYL-piperazin-1-ylmethyl)-N-[4-methyl-3-(4-pyridin-3-yl-pyrimidin-2-ylamino)-phenyl]-benzamide|Imatinib Methansulfonate|STI 571|Imatinib	imatinib mesylate|pms-imatinib	DRUGBANK	DB00619	C29H31N7O	small molecule	L01XE01	152459-95-5	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	KTUFNOKKBVMGRW-UHFFFAOYSA-N
8663	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	inhibitor	target	Hoerth E (2004)	15799618	177325	609	Imatinib	Imatinibum|alpha-(4-Methyl-1-piperazinyl)-3'-((4-(3-pyridyl)-2-pyrimidinyl)amino)-P-toluidide|4-(4-METHYL-piperazin-1-ylmethyl)-N-[4-methyl-3-(4-pyridin-3-yl-pyrimidin-2-ylamino)-phenyl]-benzamide|Imatinib Methansulfonate|STI 571|Imatinib	imatinib mesylate|pms-imatinib	DRUGBANK	DB00619	C29H31N7O	small molecule	L01XE01	152459-95-5	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	KTUFNOKKBVMGRW-UHFFFAOYSA-N
11869	111549	5562	-	PRKAA1	AMPK|AMPKa1	9606	Homo sapiens	activator	target	Zhang L (2007)	17369473	179062	904	Phenformin	DBI|Fenformin|Phenformine|-Phenethybiguanide|Fenformina|Phenforminum	-	DRUGBANK	DB00914	C10H15N5	small molecule	A10BD01|A10BA01	114-86-3	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	ICFJFFQQTFMIBG-UHFFFAOYSA-N
11870	111549	5562	-	PRKAA1	AMPK|AMPKa1	9606	Homo sapiens	activator	target	Chen S (2008)	17995453	179061	904	Phenformin	DBI|Fenformin|Phenformine|-Phenethybiguanide|Fenformina|Phenforminum	-	DRUGBANK	DB00914	C10H15N5	small molecule	A10BD01|A10BA01	114-86-3	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	ICFJFFQQTFMIBG-UHFFFAOYSA-N
11871	111549	5562	-	PRKAA1	AMPK|AMPKa1	9606	Homo sapiens	activator	target	Woollhead AM (2007)	17603555	179060	904	Phenformin	DBI|Fenformin|Phenformine|-Phenethybiguanide|Fenformina|Phenforminum	-	DRUGBANK	DB00914	C10H15N5	small molecule	A10BD01|A10BA01	114-86-3	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	ICFJFFQQTFMIBG-UHFFFAOYSA-N
12164	111550	5563	-	PRKAA2	AMPK|AMPK2|AMPKa2|PRKAA	9606	Homo sapiens	activator	target	Din FV (2012)	22406476	179247	935	Acetylsalicylic acid	2-Acetoxybenzenecarboxylic acid|cido acetilsaliclico|Polopiryna|Easprin|Azetylsalizylsaeure|Salicylic acid acetate|2-Acetoxybenzoic acid|Acide actylsalicylique|O-acetylsalicylic acid|ASA|Acide 2-(acetyloxy)benzoique|Acetylsalicylsaeure|Acetylsalicylic acid|o-acetoxybenzoic acid|Azetylsalizylsure|2-(ACETYLOXY)benzoic acid|Acidum acetylsalicylicum|Acetylsalicylate|o-carboxyphenyl acetate|Aspirin	medique medi seltzer|asatab 80	DRUGBANK	DB00945	C9H8O4	small molecule	N02BA51|A01AD05|B01AC06|C10BX06|N02BA71|B01AC56|C10BX01|C10BX02|C10BX05|C10BX04|M01BA03|C10BX08|N02BA01	50-78-2	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	BSYNRYMUTXBXSQ-UHFFFAOYSA-N
12165	111550	5563	-	PRKAA2	AMPK|AMPK2|AMPKa2|PRKAA	9606	Homo sapiens	activator	target	Hawley SA (2012)	22517326	179246	935	Acetylsalicylic acid	2-Acetoxybenzenecarboxylic acid|cido acetilsaliclico|Polopiryna|Easprin|Azetylsalizylsaeure|Salicylic acid acetate|2-Acetoxybenzoic acid|Acide actylsalicylique|O-acetylsalicylic acid|ASA|Acide 2-(acetyloxy)benzoique|Acetylsalicylsaeure|Acetylsalicylic acid|o-acetoxybenzoic acid|Azetylsalizylsure|2-(ACETYLOXY)benzoic acid|Acidum acetylsalicylicum|Acetylsalicylate|o-carboxyphenyl acetate|Aspirin	medique medi seltzer|asatab 80	DRUGBANK	DB00945	C9H8O4	small molecule	N02BA51|A01AD05|B01AC06|C10BX06|N02BA71|B01AC56|C10BX01|C10BX02|C10BX05|C10BX04|M01BA03|C10BX08|N02BA01	50-78-2	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	BSYNRYMUTXBXSQ-UHFFFAOYSA-N
12168	111549	5562	-	PRKAA1	AMPK|AMPKa1	9606	Homo sapiens	activator	target	Din FV (2012)	22406476	179247	935	Acetylsalicylic acid	2-Acetoxybenzenecarboxylic acid|cido acetilsaliclico|Polopiryna|Easprin|Azetylsalizylsaeure|Salicylic acid acetate|2-Acetoxybenzoic acid|Acide actylsalicylique|O-acetylsalicylic acid|ASA|Acide 2-(acetyloxy)benzoique|Acetylsalicylsaeure|Acetylsalicylic acid|o-acetoxybenzoic acid|Azetylsalizylsure|2-(ACETYLOXY)benzoic acid|Acidum acetylsalicylicum|Acetylsalicylate|o-carboxyphenyl acetate|Aspirin	medique medi seltzer|asatab 80	DRUGBANK	DB00945	C9H8O4	small molecule	N02BA51|A01AD05|B01AC06|C10BX06|N02BA71|B01AC56|C10BX01|C10BX02|C10BX05|C10BX04|M01BA03|C10BX08|N02BA01	50-78-2	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	BSYNRYMUTXBXSQ-UHFFFAOYSA-N
12169	111549	5562	-	PRKAA1	AMPK|AMPKa1	9606	Homo sapiens	activator	target	Hawley SA (2012)	22517326	179246	935	Acetylsalicylic acid	2-Acetoxybenzenecarboxylic acid|cido acetilsaliclico|Polopiryna|Easprin|Azetylsalizylsaeure|Salicylic acid acetate|2-Acetoxybenzoic acid|Acide actylsalicylique|O-acetylsalicylic acid|ASA|Acide 2-(acetyloxy)benzoique|Acetylsalicylsaeure|Acetylsalicylic acid|o-acetoxybenzoic acid|Azetylsalizylsure|2-(ACETYLOXY)benzoic acid|Acidum acetylsalicylicum|Acetylsalicylate|o-carboxyphenyl acetate|Aspirin	medique medi seltzer|asatab 80	DRUGBANK	DB00945	C9H8O4	small molecule	N02BA51|A01AD05|B01AC06|C10BX06|N02BA71|B01AC56|C10BX01|C10BX02|C10BX05|C10BX04|M01BA03|C10BX08|N02BA01	50-78-2	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	BSYNRYMUTXBXSQ-UHFFFAOYSA-N
15409	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	multitarget	target	Piccaluga PP (2007)	17701954	180863	1242	Dasatinib	Dasatinib (anh.)|Dasatinib|N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|BMS dasatinib|Anhydrous dasatinib|dasatinib (anhydrous)|anh. dasatinib|Dasatinibum|BDBM13216	sprycel	DRUGBANK	DB01254	C22H26ClN7O2S	small molecule	L01XE06	302962-49-8	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	ZBNZXTGUTAYRHI-UHFFFAOYSA-N
15410	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	multitarget	target	Imming P (2006)	17016423	171742	1242	Dasatinib	Dasatinib (anh.)|Dasatinib|N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|BMS dasatinib|Anhydrous dasatinib|dasatinib (anhydrous)|anh. dasatinib|Dasatinibum|BDBM13216	sprycel	DRUGBANK	DB01254	C22H26ClN7O2S	small molecule	L01XE06	302962-49-8	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	ZBNZXTGUTAYRHI-UHFFFAOYSA-N
15411	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	multitarget	target	Chen X (2002)	11752352	171740	1242	Dasatinib	Dasatinib (anh.)|Dasatinib|N-(2-CHLORO-6-methylphenyl)-2-({6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl}amino)-1,3-thiazole-5-carboxamide|BMS dasatinib|Anhydrous dasatinib|dasatinib (anhydrous)|anh. dasatinib|Dasatinibum|BDBM13216	sprycel	DRUGBANK	DB01254	C22H26ClN7O2S	small molecule	L01XE06	302962-49-8	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	ZBNZXTGUTAYRHI-UHFFFAOYSA-N
17756	116446	11315	CTA-215D11.1	PARK7	DJ-1|DJ1|HEL-S-67p	9606	Homo sapiens	unknown	target	Imming P (2006)	17016423	171742	1702	Double Oxidized Cysteine	-	-	DRUGBANK	DB01769	C3H6NO4S	small molecule	-	-	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	InChIKey=GEAMCHVNTOUKJC-REOHCLBHSA-N
17757	116446	11315	CTA-215D11.1	PARK7	DJ-1|DJ1|HEL-S-67p	9606	Homo sapiens	unknown	target	Overington JP (2006)	17139284	171741	1702	Double Oxidized Cysteine	-	-	DRUGBANK	DB01769	C3H6NO4S	small molecule	-	-	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	InChIKey=GEAMCHVNTOUKJC-REOHCLBHSA-N
19433	115330	10013	JM21	HDAC6	CPBHM|HD6|PPP1R90	9606	Homo sapiens	inhibitor	target	Xu WS (2007)	17694093	181632	2443	Vorinostat	Vorinostatum|SAHA|Suberoylanilide hydroxamic acid|Octanedioic acid hydroxyamide phenylamide|Zolinza|Suberanilohydroxamic acid|SHH|BDBM19149	zolinza	DRUGBANK	DB02546	C14H20N2O3	small molecule	L01XX38	149647-78-9	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	WAEXFXRVDQXREF-UHFFFAOYSA-N
22097	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	unknown	target	Berman HM (2000)	10592235	172122	3715	N-[4-Methyl-3-[[4-(3-Pyridinyl)-2-Pyrimidinyl]Amino]Phenyl]-3-Pyridinecarboxamide	-	-	DRUGBANK	DB03878	C22H18N6O	small molecule	-	-	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	YWQVBESSYLICRX-UHFFFAOYSA-N
22700	110851	4779	-	NFE2L1	LCR-F1|NRF1|TCF11	9606	Homo sapiens	unknown	target	Berman HM (2000)	10592235	172122	3978	Lauryl Dimethylamine-N-Oxide	-	-	DRUGBANK	DB04147	C14H31NO	small molecule	-	-	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	SYELZBGXAIXKHU-UHFFFAOYSA-N
23089	113624	7879	-	RAB7A	PRO2706|RAB7	9606	Homo sapiens	unknown	target	Berman HM (2000)	10592235	172122	4140	Guanosine-5'-Diphosphate	-	-	DRUGBANK	DB04315	C10H15N5O11P2	small molecule	-	146-91-8	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	QGWNDRXFNXRZMB-BZKDHIKHSA-N
23274	113258	7415	-	VCP	ALS14|HEL-220|HEL-S-70|IBMPFD|IBMPFD1|TERA|p97	9606	Homo sapiens	unknown	target	Berman HM (2000)	10592235	172122	4216	Phosphoaminophosphonic Acid-Adenylate Ester	-	-	DRUGBANK	DB04395	C10H17N6O12P3	small molecule	-	-	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	PVKSNHVPLWYQGJ-FCIPNVEPSA-N
24042	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	inhibitor	target	Maekawa T (2007)	17929114	182055	4668	Nilotinib	Nilotinibum	tasigna	DRUGBANK	DB04868	C28H22F3N7O	small molecule	L01XE08	641571-10-0	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	HHZIURLSWUIHRB-UHFFFAOYSA-N
24043	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	inhibitor	target	Kantarjian HM (2007)	17715389	182041	4668	Nilotinib	Nilotinibum	tasigna	DRUGBANK	DB04868	C28H22F3N7O	small molecule	L01XE08	641571-10-0	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	HHZIURLSWUIHRB-UHFFFAOYSA-N
24044	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	inhibitor	target	Weisberg E (2006)	16721371	181947	4668	Nilotinib	Nilotinibum	tasigna	DRUGBANK	DB04868	C28H22F3N7O	small molecule	L01XE08	641571-10-0	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	HHZIURLSWUIHRB-UHFFFAOYSA-N
24045	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	inhibitor	target	Swords R (2009)	19920925	182135	4668	Nilotinib	Nilotinibum	tasigna	DRUGBANK	DB04868	C28H22F3N7O	small molecule	L01XE08	641571-10-0	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	HHZIURLSWUIHRB-UHFFFAOYSA-N
24046	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	inhibitor	target	Rosti G (2009)	19822896	182130	4668	Nilotinib	Nilotinibum	tasigna	DRUGBANK	DB04868	C28H22F3N7O	small molecule	L01XE08	641571-10-0	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	HHZIURLSWUIHRB-UHFFFAOYSA-N
24859	111307	5289	-	PIK3C3	VPS34|hVps34	9606	Homo sapiens	unknown	target	Berman HM (2000)	10592235	172122	5657	N-(5-(4-CHLORO-3-(2-HYDROXY-ETHYLSULFAMOYL)- PHENYLTHIAZOLE-2-YL)-ACETAMIDE	-	-	DRUGBANK	DB06836	C14H16ClN3O4S2	small molecule	-	-	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	JFVNFXCESCXMBC-UHFFFAOYSA-N
25849	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	unknown	target	Berman HM (2000)	10592235	172122	6628	2-{[(6-OXO-1,6-DIHYDROPYRIDIN-3-YL)METHYL]AMINO}-N-[4-PROPYL-3-(TRIFLUOROMETHYL)PHENYL]BENZAMIDE	-	-	DRUGBANK	DB07831	C23H22F3N3O2	small molecule	-	-	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	SHSORWZDEKFFLP-UHFFFAOYSA-N
26063	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	unknown	target	Berman HM (2000)	10592235	172122	6836	1-[4-(PYRIDIN-4-YLOXY)PHENYL]-3-[3-(TRIFLUOROMETHYL)PHENYL]UREA	-	-	DRUGBANK	DB08043	C19H14F3N3O2	small molecule	-	-	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	DDDLGNOZDKDSEG-UHFFFAOYSA-N
26262	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	unknown	target	Berman HM (2000)	10592235	172122	7021	MYRISTIC ACID	-	-	DRUGBANK	DB08231	C14H28O2	small molecule	-	-	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	TUNFSRHWOTWDNC-UHFFFAOYSA-N
26381	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	unknown	target	Berman HM (2000)	10592235	172122	7125	6-(2,6-DICHLOROPHENYL)-2-{[3-(HYDROXYMETHYL)PHENYL]AMINO}-8-METHYLPYRIDO[2,3-D]PYRIMIDIN-7(8H)-ONE	-	-	DRUGBANK	DB08339	C21H16Cl2N4O2	small molecule	-	-	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	ZIQFYVPVJZEOFS-UHFFFAOYSA-N
26397	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	unknown	target	Berman HM (2000)	10592235	172122	7135	5-[3-(2-METHOXYPHENYL)-1H-PYRROLO[2,3-B]PYRIDIN-5-YL]-N,N-DIMETHYLPYRIDINE-3-CARBOXAMIDE	-	-	DRUGBANK	DB08350	C22H20N4O2	small molecule	-	-	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	GYQRHHQPEMOLKH-UHFFFAOYSA-N
26619	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	unknown	target	Berman HM (2000)	10592235	172122	7360	2-amino-5-[3-(1-ethyl-1H-pyrazol-5-yl)-1H-pyrrolo[2,3-b]pyridin-5-yl]-N,N-dimethylbenzamide	-	-	DRUGBANK	DB08583	C21H22N6O	small molecule	-	-	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	INAGORZAOFUKOZ-UHFFFAOYSA-N
26966	106543	25	RP11-83J21.1	ABL1	ABL|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	9606	Homo sapiens	inhibitor	target	Iqbal Z (2013)	23409026	182230	7645	Ponatinib	AP24534|AP 24534|Ponatinibum	iclusig	DRUGBANK	DB08901	C29H27F3N6O	small molecule	L01XE24	943319-70-8	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	PHXJVRSECIGDHY-UHFFFAOYSA-N
27693	123818	83933	RP3-402G11.7	HDAC10	HD10	9606	Homo sapiens	inhibitor	target	Beckers T (2007)	17455259	182004	8079	Panobinostat	(2E)-N-hydroxy-3-[4-({[2-(2-methyl-1H-indol-3-yl)ethyl]amino}methyl)phenyl]acrylamide|panobinostat|BDBM29589	farydak	DRUGBANK	DB06603	C21H23N3O2	small molecule	L01XX42	404950-80-7	DRUGBANK	-	-	-	-	-	-	-	-	-	-	-	FPOHNWQLNRZRFC-ZHACJKMWSA-N
